what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318375079299
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318375097163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318375102911
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318375120228
closed,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1318375120229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1318375120253
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1318375135003
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1318375135004
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1318375135109
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1318375135124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318375135351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318375147070
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1318375147195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318375147533
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318375150254
started,bundle,org.python.pydev.core,2.2.2.2011082312,"org.python.pydev.core",1318375150313
started,bundle,org.python.pydev.debug,2.2.2.2011082312,"org.python.pydev.debug",1318375150315
started,bundle,com.python.pydev.analysis,2.2.2.2011082312,"com.python.pydev.analysis",1318375150335
started,bundle,org.python.pydev,2.2.2.2011082312,"org.python.pydev",1318375150398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318375212875
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318375286593
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1318375286877
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1318375286935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318375314964
started,bundle,org.eclipse.wst.dtd.core,1.1.500.v201103300335,"org.eclipse.wst.dtd.core",1318375326558
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318375343963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318375408772
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1318375583297
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1318375583393
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1318375583423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318375587829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318375611866
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318375613225
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1318375614504
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318375621028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318375622696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318375623990
